,date,site,cases,diff_cases,diff_cases_pc,avg_dates,avg_cases,avg_cases_pc
0,2020-03-15 00:00:00,NNL Bettis,0,,,2020-03-11 12:00:00,,
11,2020-03-15 00:00:00,Non-NNL Liberty Street,0,,,2020-03-11 12:00:00,,
10,2020-03-15 00:00:00,Non-NNL NRF,0,,,2020-03-11 12:00:00,,
9,2020-03-15 00:00:00,Non-NNL NPTU-Charleston,0,,,2020-03-11 12:00:00,,
7,2020-03-15 00:00:00,Non-NNL Knolls,0,,,2020-03-11 12:00:00,,
6,2020-03-15 00:00:00,Non-NNL Bettis,0,,,2020-03-11 12:00:00,,
8,2020-03-15 00:00:00,Non-NNL Kesselring,0,,,2020-03-11 12:00:00,,
4,2020-03-15 00:00:00,NNL NRF,0,,,2020-03-11 12:00:00,,
3,2020-03-15 00:00:00,NNL NPTU-Charleston,0,,,2020-03-11 12:00:00,,
2,2020-03-15 00:00:00,NNL Kesselring,0,,,2020-03-11 12:00:00,,
1,2020-03-15 00:00:00,NNL Knolls,0,,,2020-03-11 12:00:00,,
5,2020-03-15 00:00:00,NNL Liberty Street,0,,,2020-03-11 12:00:00,,
19,2020-03-16 00:00:00,Non-NNL Knolls,0,0.0,0.0,2020-03-12 12:00:00,,
23,2020-03-16 00:00:00,Non-NNL Liberty Street,0,0.0,0.0,2020-03-12 12:00:00,,
22,2020-03-16 00:00:00,Non-NNL NRF,0,0.0,0.0,2020-03-12 12:00:00,,
21,2020-03-16 00:00:00,Non-NNL NPTU-Charleston,0,0.0,0.0,2020-03-12 12:00:00,,
20,2020-03-16 00:00:00,Non-NNL Kesselring,0,0.0,0.0,2020-03-12 12:00:00,,
18,2020-03-16 00:00:00,Non-NNL Bettis,0,0.0,0.0,2020-03-12 12:00:00,,
14,2020-03-16 00:00:00,NNL Kesselring,0,0.0,0.0,2020-03-12 12:00:00,,
16,2020-03-16 00:00:00,NNL NRF,0,0.0,0.0,2020-03-12 12:00:00,,
15,2020-03-16 00:00:00,NNL NPTU-Charleston,0,0.0,0.0,2020-03-12 12:00:00,,
13,2020-03-16 00:00:00,NNL Knolls,0,0.0,0.0,2020-03-12 12:00:00,,
12,2020-03-16 00:00:00,NNL Bettis,0,0.0,0.0,2020-03-12 12:00:00,,
17,2020-03-16 00:00:00,NNL Liberty Street,1,1.0,302.11480362537765,2020-03-12 12:00:00,,
31,2020-03-17 00:00:00,Non-NNL Knolls,0,0.0,0.0,2020-03-13 12:00:00,,
35,2020-03-17 00:00:00,Non-NNL Liberty Street,0,0.0,0.0,2020-03-13 12:00:00,,
34,2020-03-17 00:00:00,Non-NNL NRF,0,0.0,0.0,2020-03-13 12:00:00,,
33,2020-03-17 00:00:00,Non-NNL NPTU-Charleston,0,0.0,0.0,2020-03-13 12:00:00,,
32,2020-03-17 00:00:00,Non-NNL Kesselring,0,0.0,0.0,2020-03-13 12:00:00,,
30,2020-03-17 00:00:00,Non-NNL Bettis,0,0.0,0.0,2020-03-13 12:00:00,,
26,2020-03-17 00:00:00,NNL Kesselring,0,0.0,0.0,2020-03-13 12:00:00,,
28,2020-03-17 00:00:00,NNL NRF,0,0.0,0.0,2020-03-13 12:00:00,,
27,2020-03-17 00:00:00,NNL NPTU-Charleston,0,0.0,0.0,2020-03-13 12:00:00,,
25,2020-03-17 00:00:00,NNL Knolls,0,0.0,0.0,2020-03-13 12:00:00,,
24,2020-03-17 00:00:00,NNL Bettis,0,0.0,0.0,2020-03-13 12:00:00,,
29,2020-03-17 00:00:00,NNL Liberty Street,1,0.0,0.0,2020-03-13 12:00:00,,
47,2020-03-18 00:00:00,Non-NNL Liberty Street,0,0.0,0.0,2020-03-14 12:00:00,,
46,2020-03-18 00:00:00,Non-NNL NRF,0,0.0,0.0,2020-03-14 12:00:00,,
45,2020-03-18 00:00:00,Non-NNL NPTU-Charleston,0,0.0,0.0,2020-03-14 12:00:00,,
44,2020-03-18 00:00:00,Non-NNL Kesselring,0,0.0,0.0,2020-03-14 12:00:00,,
43,2020-03-18 00:00:00,Non-NNL Knolls,0,0.0,0.0,2020-03-14 12:00:00,,
42,2020-03-18 00:00:00,Non-NNL Bettis,0,0.0,0.0,2020-03-14 12:00:00,,
41,2020-03-18 00:00:00,NNL Liberty Street,1,0.0,0.0,2020-03-14 12:00:00,,
39,2020-03-18 00:00:00,NNL NPTU-Charleston,0,0.0,0.0,2020-03-14 12:00:00,,
38,2020-03-18 00:00:00,NNL Kesselring,0,0.0,0.0,2020-03-14 12:00:00,,
37,2020-03-18 00:00:00,NNL Knolls,0,0.0,0.0,2020-03-14 12:00:00,,
36,2020-03-18 00:00:00,NNL Bettis,0,0.0,0.0,2020-03-14 12:00:00,,
40,2020-03-18 00:00:00,NNL NRF,0,0.0,0.0,2020-03-14 12:00:00,,
55,2020-03-19 00:00:00,Non-NNL Knolls,0,0.0,0.0,2020-03-15 12:00:00,,
59,2020-03-19 00:00:00,Non-NNL Liberty Street,0,0.0,0.0,2020-03-15 12:00:00,,
58,2020-03-19 00:00:00,Non-NNL NRF,0,0.0,0.0,2020-03-15 12:00:00,,
57,2020-03-19 00:00:00,Non-NNL NPTU-Charleston,0,0.0,0.0,2020-03-15 12:00:00,,
54,2020-03-19 00:00:00,Non-NNL Bettis,0,0.0,0.0,2020-03-15 12:00:00,,
56,2020-03-19 00:00:00,Non-NNL Kesselring,0,0.0,0.0,2020-03-15 12:00:00,,
52,2020-03-19 00:00:00,NNL NRF,0,0.0,0.0,2020-03-15 12:00:00,,
51,2020-03-19 00:00:00,NNL NPTU-Charleston,0,0.0,0.0,2020-03-15 12:00:00,,
53,2020-03-19 00:00:00,NNL Liberty Street,1,0.0,0.0,2020-03-15 12:00:00,,
50,2020-03-19 00:00:00,NNL Kesselring,0,0.0,0.0,2020-03-15 12:00:00,,
49,2020-03-19 00:00:00,NNL Knolls,0,0.0,0.0,2020-03-15 12:00:00,,
48,2020-03-19 00:00:00,NNL Bettis,0,0.0,0.0,2020-03-15 12:00:00,,
71,2020-03-20 00:00:00,Non-NNL Liberty Street,0,0.0,0.0,2020-03-16 12:00:00,,
70,2020-03-20 00:00:00,Non-NNL NRF,0,0.0,0.0,2020-03-16 12:00:00,,
69,2020-03-20 00:00:00,Non-NNL NPTU-Charleston,0,0.0,0.0,2020-03-16 12:00:00,,
68,2020-03-20 00:00:00,Non-NNL Kesselring,0,0.0,0.0,2020-03-16 12:00:00,,
67,2020-03-20 00:00:00,Non-NNL Knolls,0,0.0,0.0,2020-03-16 12:00:00,,
66,2020-03-20 00:00:00,Non-NNL Bettis,0,0.0,0.0,2020-03-16 12:00:00,,
65,2020-03-20 00:00:00,NNL Liberty Street,1,0.0,0.0,2020-03-16 12:00:00,,
64,2020-03-20 00:00:00,NNL NRF,0,0.0,0.0,2020-03-16 12:00:00,,
63,2020-03-20 00:00:00,NNL NPTU-Charleston,0,0.0,0.0,2020-03-16 12:00:00,,
62,2020-03-20 00:00:00,NNL Kesselring,0,0.0,0.0,2020-03-16 12:00:00,,
61,2020-03-20 00:00:00,NNL Knolls,0,0.0,0.0,2020-03-16 12:00:00,,
60,2020-03-20 00:00:00,NNL Bettis,0,0.0,0.0,2020-03-16 12:00:00,,
82,2020-03-21 00:00:00,Non-NNL NRF,0,0.0,0.0,2020-03-17 12:00:00,,
